LP_92,LP_95,LAD,LSD,LK
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
115.0,133.0,73.0,88.3,51.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
125.0,143.0,76.0,98.3,61.0
